date,area_km2,data_source,cloud_coverage_percent,estimated_storage_bcm,cwc_storage_bcm,percent_full
1997-09-01,67.32967065511338,jrc,,0.007170823748004727,,0.073585
1997-10-01,73.02477372321127,jrc,,0.009020476454015392,,0.092565
1997-11-01,18.88323145284407,jrc,,0.00019731898678612177,,0.002025
1997-12-01,0.0,jrc,,0.0,,0.0
1998-01-01,0.0,jrc,,0.0,,0.0
1998-02-01,81.2552233828605,jrc,,0.012198575620253154,,0.125178
1998-03-01,70.48462322262162,jrc,,0.008161596586944053,,0.083752
1998-04-01,58.27090180474714,jrc,,0.004766669001420709,,0.048914
1998-05-01,54.58297524192306,jrc,,0.003962487554727784,,0.040662
1998-06-01,49.261398636031394,jrc,,0.0029652534062477895,,0.030428
1998-07-01,0.0,jrc,,0.0,,0.0
1998-08-01,57.833204692316656,jrc,,0.004666172997380313,,0.047883
1998-09-01,44.2328077930647,jrc,,0.0021872828638289815,,0.022445
1998-10-01,74.14706116254779,jrc,,0.009417791688237089,,0.096642
1998-11-01,67.31561572640155,jrc,,0.00716659411260653,,0.073541
1998-12-01,64.23171746772087,jrc,,0.006277037405054138,,0.064413
1999-01-01,62.19314196586298,jrc,,0.005730186975662044,,0.058801
1999-02-01,32.87149778870741,jrc,,0.0009452443875841668,,0.0097
1999-03-01,58.393604653851455,jrc,,0.004795090508548896,,0.049206
1999-04-01,54.10259627525735,jrc,,0.0038647202367075636,,0.039658
1999-05-01,0.0,jrc,,0.0,,0.0
1999-06-01,0.0,jrc,,0.0,,0.0
1999-07-01,3.762440709193332,jrc,,2.0661059344911005e-06,,2.1e-05
1999-08-01,0.0,jrc,,0.0,,0.0
1999-09-01,17.996282414121563,jrc,,0.00017223474268432678,,0.001767
1999-10-01,91.59958295167988,jrc,,0.017115436154804205,,0.175633
1999-11-01,0.0,jrc,,0.0,,0.0
1999-12-01,66.33877374161987,jrc,,0.006876561862973589,,0.070565
2000-01-01,0.0,jrc,,0.0,,0.0
2000-02-01,58.719188024273635,jrc,,0.0048710351267006,,0.049985
2000-03-01,52.147666649428,jrc,,0.0034829492017570125,,0.035741
2000-04-01,10.633181866231066,jrc,,3.8930614114525815e-05,,0.000399
2000-05-01,52.71823229192085,jrc,,0.0035917275599028817,,0.036857
2000-06-01,16.06881756448838,jrc,,0.000125048236319157,,0.001283
2000-07-01,0.0,jrc,,0.0,,0.0
2000-08-01,15.048996506362789,jrc,,0.0001038960850650513,,0.001066
2000-09-01,63.10236589719203,jrc,,0.005970110881547234,,0.061263
2000-10-01,61.87983791955764,jrc,,0.005648981117236304,,0.057968
2000-11-01,53.06182369033229,jrc,,0.00365827950547902,,0.03754
2000-12-01,11.19675892729592,jrc,,4.5048373269940944e-05,,0.000462
2001-01-01,44.312493358475045,jrc,,0.002198437328899038,,0.02256
2001-02-01,6.0328879488044285,jrc,,7.846383254486546e-06,,8.1e-05
2001-03-01,13.68986316011606,jrc,,7.95098197816658e-05,,0.000816
2001-04-01,16.550279107821403,jrc,,0.00013592918657449445,,0.001395
2001-05-01,31.804061460607475,jrc,,0.0008610451348248726,,0.008836
2001-06-01,0.0,jrc,,0.0,,0.0
2001-07-01,0.0,jrc,,0.0,,0.0
2001-08-01,19.72098658403476,jrc,,0.00022307365266034966,,0.002289
2001-09-01,75.55988381199793,jrc,,0.009933812365434678,,0.101938
