date,area_km2,data_source,cloud_coverage_percent,estimated_storage_bcm,cwc_storage_bcm,percent_full
2010-01-01,316.8722652809735,jrc,,3.3118121858658323,,50.065188
2010-02-01,307.57713776004516,jrc,,3.152207294156492,,47.652416
2010-03-01,277.55710635236096,jrc,,2.6584062971066875,,40.187548
2010-04-01,246.2824008619188,jrc,,2.180161779895974,,32.95785
2010-05-01,210.9978429315084,jrc,,1.6868605842136724,,25.500538
2010-06-01,181.97420435353297,jrc,,1.319652039590624,,19.949388
2010-07-01,0.0,jrc,,0.0,,0.0
2010-08-01,0.0,jrc,,0.0,,0.0
2010-09-01,385.5196782929259,jrc,,4.585096181233721,,69.313623
2010-10-01,376.66005247774024,jrc,,4.411616267808932,,66.6911
2010-11-01,408.03461789573913,jrc,,5.037825452809814,,76.157603
2010-12-01,439.95713026158194,jrc,,5.708394404017454,,86.2947
2011-01-01,419.4254094624974,jrc,,5.273279226734328,,79.716995
2011-02-01,413.9086081288337,jrc,,5.158710545208138,,77.985042
2011-03-01,388.2567721359189,jrc,,4.639227321630276,,70.131932
2011-04-01,326.4083019092913,jrc,,3.478791143582815,,52.589435
2011-05-01,282.0423924060311,jrc,,2.7300540994723996,,41.270659
2011-06-01,169.3819888353238,jrc,,1.1716406249286013,,17.711876
2011-07-01,0.0,jrc,,0.0,,0.0
2011-08-01,0.0,jrc,,0.0,,0.0
2011-09-01,231.43325710670788,jrc,,1.9664530598325471,,29.727182
2011-10-01,416.1443138644385,jrc,,5.20501947604223,,78.685102
2011-11-01,430.237606509304,jrc,,5.500707387733582,,83.155063
2011-12-01,433.6654924225801,jrc,,5.573605413242937,,84.257074
2012-01-01,389.0359141117938,jrc,,4.654682423147796,,70.36557
2012-02-01,355.8078112024239,jrc,,4.013879507701056,,60.678451
2012-03-01,355.1773796408586,jrc,,4.002087852313215,,60.500194
2012-04-01,320.02457382553587,jrc,,3.3666489042238084,,50.894163
2012-05-01,271.6037081104292,jrc,,2.564479872740835,,38.767647
2012-06-01,210.922109301181,jrc,,1.6858562454410577,,25.485355
2012-07-01,0.0,jrc,,0.0,,0.0
2012-08-01,0.0,jrc,,0.0,,0.0
2012-09-01,310.5026963780638,jrc,,3.2021036299606718,,48.406706
2012-10-01,348.7210266819326,jrc,,3.882122511764972,,58.686659
2012-11-01,422.4300655843824,jrc,,5.336097430854581,,80.666628
2012-12-01,407.9476124145133,jrc,,5.03604346860476,,76.130665
2013-01-01,370.2611589320016,jrc,,4.287978222522622,,64.822044
2013-02-01,392.914996832347,jrc,,4.73193160961768,,71.533358
2013-03-01,360.4468402275408,jrc,,4.101071487843478,,61.996546
2013-04-01,326.0626847849781,jrc,,3.4726823915658884,,52.497088
2013-05-01,296.7459514805093,jrc,,2.970199824960302,,44.90098
2013-06-01,209.1523103495603,jrc,,1.6624538393483406,,25.131577
2013-07-01,150.48989043302834,jrc,,0.9629179323280583,,14.556582
2013-08-01,236.18135934225415,jrc,,2.033834247448702,,30.745794
2013-09-01,424.9588238096045,jrc,,5.389194807401736,,81.469309
2013-10-01,476.12643840388614,jrc,,6.507839806423323,,98.380042
2013-11-01,476.1080709615993,jrc,,6.507423321422682,,98.373746
2013-12-01,473.21381948882714,jrc,,6.441928031373392,,97.383644
2014-01-01,464.70803023199863,jrc,,6.250973633746588,,94.496956
2014-02-01,450.7003322306192,jrc,,5.941498389296807,,89.81857
2014-03-01,423.662577779308,jrc,,5.361950908449358,,81.057459
2014-04-01,394.90422484149144,jrc,,4.771741364594019,,72.135168
