date,area_km2,data_source,cloud_coverage_percent,estimated_storage_bcm,cwc_storage_bcm,percent_full
2000-01-01,0.0,jrc,,0.0,,0.0
2000-02-01,0.0,jrc,,0.0,,0.0
2000-03-01,0.0,jrc,,0.0,,0.0
2000-04-01,404.76461372715494,jrc,,2.8943618772017623,,53.81855480107405
2000-05-01,0.0,jrc,,0.0,,0.0
2000-06-01,122.51481347125498,jrc,,0.8079989501699518,,15.024153034026625
2000-07-01,84.78917862528341,jrc,,0.5454358965429944,,10.141983944644744
2000-08-01,333.95281486128886,jrc,,2.357125693043391,,43.82903854673468
2000-09-01,393.6485417649029,jrc,,2.8095734832431605,,52.24197625963482
2000-10-01,531.9611286811688,jrc,,3.874918359142611,,72.05128968283024
2000-11-01,482.60891694410765,jrc,,3.492336479340267,,64.9374577787331
2000-12-01,0.0,jrc,,0.0,,0.0
2001-01-01,446.8256477594574,jrc,,3.2165800642901017,,59.80996772573637
2001-02-01,0.0,jrc,,0.0,,0.0
2001-03-01,0.0,jrc,,0.0,,0.0
2001-04-01,318.8464832146736,jrc,,2.243461460355191,,41.71553477789496
2001-05-01,291.20757360838047,jrc,,2.0364529740432236,,37.86636247756087
2001-06-01,0.0,jrc,,0.0,,0.0
2001-07-01,0.0,jrc,,0.0,,0.0
2001-08-01,322.0042143917087,jrc,,2.267191545498187,,42.15677845850106
2001-09-01,723.1256807852263,jrc,,5.377999999999999,,99.99999999999999
2001-10-01,710.1578147429351,jrc,,5.275091208488672,,98.0864858402505
2001-11-01,672.2067944012595,jrc,,4.974662732960033,,92.50023676013448
2001-12-01,642.7698471190575,jrc,,4.742419780147339,,88.1818479015868
2002-01-01,484.30649053744435,jrc,,3.5054537373903227,,65.18136365545412
2002-02-01,539.3128494273949,jrc,,3.9321209810904856,,73.11493084958136
2002-03-01,403.33408526514216,jrc,,2.8834415194168437,,53.615498687557526
2002-04-01,421.54579628457816,jrc,,3.022658771079297,,56.204142266256916
2002-05-01,349.1162447495775,jrc,,2.471570153328047,,45.95705008047688
2002-06-01,236.16742002450977,jrc,,1.6282975930630599,,30.277009911920043
2002-07-01,122.03793961046502,jrc,,0.8046414927988446,,14.961723555203507
2002-08-01,201.782010631119,jrc,,1.376483448221763,,25.59470896656309
2002-09-01,602.6064788661618,jrc,,4.426716601136899,,82.31157681548716
2002-10-01,679.0819542090019,jrc,,5.029004709894564,,93.51068631265458
2002-11-01,624.8454584720547,jrc,,4.601355426291725,,85.55885880051554
2002-12-01,607.2556494734616,jrc,,4.463190197305177,,82.98977681861615
2003-01-01,578.3834213735576,jrc,,4.236993489113415,,78.78381348295676
2003-02-01,489.18116628912645,jrc,,3.543137929009057,,65.8820738008378
2003-03-01,483.19663377868744,jrc,,3.4968774514629875,,65.02189385390457
2003-04-01,389.85431536475795,jrc,,2.7806696823521597,,51.704531096172545
2003-05-01,176.9401591405644,jrc,,1.196336281445677,,22.245003373850448
2003-06-01,0.0,jrc,,0.0,,0.0
2003-07-01,0.0,jrc,,0.0,,0.0
2003-08-01,0.0,jrc,,0.0,,0.0
2003-09-01,0.0,jrc,,0.0,,0.0
2003-10-01,668.5360170201321,jrc,,4.945663903656355,,91.96102461242756
2003-11-01,665.7820502694212,jrc,,4.923914871615341,,91.55661717395576
2003-12-01,707.8044176628616,jrc,,5.256428974473781,,97.73947516686093
2004-01-01,662.5945922046793,jrc,,4.898750010624594,,91.08869487959453
2004-02-01,628.950869995767,jrc,,4.633640983980277,,86.15918527296907
2004-03-01,554.0677045621904,jrc,,4.047084927324269,,75.25260184686256
2004-04-01,454.756293571117,jrc,,3.2775711345006826,,60.944052333593945
2004-05-01,299.29738066071883,jrc,,2.0969113642354262,,38.9905422877543
2004-06-01,252.4305970242332,jrc,,1.7482893038427398,,32.50816853556601
2004-07-01,0.0,jrc,,0.0,,0.0
2004-08-01,0.0,jrc,,0.0,,0.0
2004-09-01,674.5972174833919,jrc,,4.9935526389629485,,92.85148082861564
2004-10-01,642.9309154753245,jrc,,4.7436886015118995,,88.20544071238191
2004-11-01,621.6258784277153,jrc,,4.576046215098537,,85.08825241908771
2004-12-01,628.387519303506,jrc,,4.62920986512476,,86.07679183943398
2005-01-01,612.5754147468335,jrc,,4.504947915536398,,83.76623122975823
2005-02-01,588.5346413211028,jrc,,4.3164370589709735,,80.26100890611703
2005-03-01,499.9240141274616,jrc,,3.6262760668841625,,67.42796703020012
2005-04-01,425.6355666754342,jrc,,3.0539791854165776,,56.7865225997876
2005-05-01,312.8027320204703,jrc,,2.198087644402362,,40.87184165865306
2005-06-01,262.8153638258182,jrc,,1.8251858375225307,,33.93800367278785
2005-07-01,445.2462203857369,jrc,,3.204442096026778,,59.58427103062064
