reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-05-07,0.101,3.84,7.24,2.615,,local://bulletin_2026_05_07.pdf,
mettur,Mettur,2026-05-07,1.181,44.62,44.4,2.647,,local://bulletin_2026_05_07.pdf,
jayakwadi,Jayakwadi,2026-05-07,0.96,44.22,30.18,2.171,,local://bulletin_2026_05_07.pdf,
indira_sagar,Indira Sagar,2026-05-07,2.938,30.15,30.22,9.745,,local://bulletin_2026_05_07.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-05-07,0.761,14.9,10.96,5.108,,local://bulletin_2026_05_07.pdf,
srisailam,Srisailam,2026-05-07,1.015,16.88,13.19,6.013,,local://bulletin_2026_05_07.pdf,
sardar_sarovar,Sardar Sarovar,2026-05-07,3.103,53.87,20.15,5.76,,local://bulletin_2026_05_07.pdf,
ukai,Ukai,2026-05-07,3.281,49.59,36.02,6.615,,local://bulletin_2026_05_07.pdf,
kabini,Kabini,2026-05-07,0.062,14.07,17.85,0.444,,local://bulletin_2026_05_07.pdf,
hemavathy,Hemavathy,2026-05-07,0.361,38.96,26.97,0.927,,local://bulletin_2026_05_07.pdf,
harangi,Harangi,2026-05-07,0.069,31.5,26.84,0.22,,local://bulletin_2026_05_07.pdf,
vaigai,Vaigai,2026-05-07,0.008,4.56,33.9,0.172,,local://bulletin_2026_05_07.pdf,
idukki,Idukki,2026-05-07,0.425,29.09,31.56,1.46,,local://bulletin_2026_05_07.pdf,
idamalayar,Idamalayar,2026-05-07,0.27,26.49,26.7,1.018,,local://bulletin_2026_05_07.pdf,
bisalpur,Bisalpur,2026-05-07,0.826,76.81,42.09,1.076,,local://bulletin_2026_05_07.pdf,
maithon,Maithon,2026-05-07,0.352,74.73,53.15,0.471,,local://bulletin_2026_05_07.pdf,
panchet,Panchet,2026-05-07,0.184,100.0,109.1,0.184,,local://bulletin_2026_05_07.pdf,
bargi,Bargi,2026-05-07,0.908,28.55,43.33,3.18,,local://bulletin_2026_05_07.pdf,
singur,Singur,2026-05-07,0.174,21.19,38.82,0.822,,local://bulletin_2026_05_07.pdf,
krs,Krishnaraja Sagara,2026-05-07,0.242,20.83,19.79,1.163,,local://bulletin_2026_05_07.pdf,
bhakra,Gobind Sagar,2026-05-07,2.059,33.05,24.08,6.229,,local://bulletin_2026_05_07.pdf,
bhavanisagar,Lower Bhawani,2026-05-07,0.211,26.66,34.76,0.792,,local://bulletin_2026_05_07.pdf,
khadakwasla,Khadakvasla,2026-05-07,0.026,46.89,53.56,0.056,,local://bulletin_2026_05_07.pdf,
totladoh,Pench,2026-05-07,0.533,48.83,38.7,1.091,,local://bulletin_2026_05_07.pdf,
