reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-04-23,0.276,10.56,12.1,2.615,,local://bulletin_2026_04_23.pdf,
mettur,Mettur,2026-04-23,1.213,45.81,44.77,2.647,,local://bulletin_2026_04_23.pdf,
jayakwadi,Jayakwadi,2026-04-23,1.125,51.82,35.1,2.171,,local://bulletin_2026_04_23.pdf,
indira_sagar,Indira Sagar,2026-04-23,3.331,34.18,33.16,9.745,,local://bulletin_2026_04_23.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-04-23,0.815,15.96,11.89,5.108,,local://bulletin_2026_04_23.pdf,
srisailam,Srisailam,2026-04-23,1.049,17.45,13.39,6.013,,local://bulletin_2026_04_23.pdf,
sardar_sarovar,Sardar Sarovar,2026-04-23,3.254,56.5,20.38,5.76,,local://bulletin_2026_04_23.pdf,
ukai,Ukai,2026-04-23,3.699,55.92,42.62,6.615,,local://bulletin_2026_04_23.pdf,
kabini,Kabini,2026-04-23,0.09,20.3,22.64,0.444,,local://bulletin_2026_04_23.pdf,
hemavathy,Hemavathy,2026-04-23,0.38,41.01,27.9,0.927,,local://bulletin_2026_04_23.pdf,
harangi,Harangi,2026-04-23,0.071,32.48,26.98,0.22,,local://bulletin_2026_04_23.pdf,
vaigai,Vaigai,2026-04-23,0.016,9.34,35.98,0.172,,local://bulletin_2026_04_23.pdf,
idukki,Idukki,2026-04-23,0.507,34.73,36.12,1.46,,local://bulletin_2026_04_23.pdf,
idamalayar,Idamalayar,2026-04-23,0.312,30.66,31.6,1.018,,local://bulletin_2026_04_23.pdf,
bisalpur,Bisalpur,2026-04-23,0.865,80.41,44.5,1.076,,local://bulletin_2026_04_23.pdf,
maithon,Maithon,2026-04-23,0.388,82.38,62.53,0.471,,local://bulletin_2026_04_23.pdf,
panchet,Panchet,2026-04-23,0.184,100.0,66.33,0.184,,local://bulletin_2026_04_23.pdf,
bargi,Bargi,2026-04-23,1.065,33.49,48.01,3.18,,local://bulletin_2026_04_23.pdf,
singur,Singur,2026-04-23,0.185,22.52,40.26,0.822,,local://bulletin_2026_04_23.pdf,
pulichintala,Pulichintala,2026-04-23,0.678,52.15,26.43,1.3,,local://bulletin_2026_04_23.pdf,
somasila,Somasila,2026-04-23,1.433,71.89,42.91,1.994,,local://bulletin_2026_04_23.pdf,
yeleru,Yeleru,2026-04-23,0.112,22.05,22.4,0.508,,local://bulletin_2026_04_23.pdf,
kadana,Kadana,2026-04-23,0.729,49.55,41.19,1.472,,local://bulletin_2026_04_23.pdf,
panam,Panam,2026-04-23,0.333,47.83,36.67,0.697,,local://bulletin_2026_04_23.pdf,
hathmati,Hathmati,2026-04-23,0.103,67.51,19.95,0.153,,local://bulletin_2026_04_23.pdf,
pong_dam,Pong Dam,2026-04-23,2.383,38.7,27.32,6.157,,local://bulletin_2026_04_23.pdf,
kol_dam,Kol Dam,2026-04-23,0.073,82.17,62.07,0.089,,local://bulletin_2026_04_23.pdf,
tenughat,Tenughat,2026-04-23,0.27,32.89,39.9,0.821,,local://bulletin_2026_04_23.pdf,
konar,Konar,2026-04-23,0.085,48.3,44.98,0.176,,local://bulletin_2026_04_23.pdf,
tilaiya,Tilaiya,2026-04-23,0.023,16.2,18.73,0.142,,local://bulletin_2026_04_23.pdf,
gandhi_sagar,Gandhi Sagar,2026-04-23,4.43,64.88,46.73,6.827,,local://bulletin_2026_04_23.pdf,
tawa,Tawa,2026-04-23,0.602,30.97,31.07,1.944,,local://bulletin_2026_04_23.pdf,
omkareshwar,Omkareshwar,2026-04-23,0.205,68.56,25.74,0.299,,local://bulletin_2026_04_23.pdf,
mahi_bajaj_sagar,Mahi Bajaj Sagar,2026-04-23,0.684,39.97,32.4,1.711,,local://bulletin_2026_04_23.pdf,
rana_pratap_sagar,Rana Pratap Sagar,2026-04-23,0.532,37.07,39.47,1.436,,local://bulletin_2026_04_23.pdf,
jawai,Jawai Dam,2026-04-23,0.066,34.15,18.84,0.193,,local://bulletin_2026_04_23.pdf,
sriramsagar,Sriramsagar,2026-04-23,0.562,24.44,18.7,2.3,,local://bulletin_2026_04_23.pdf,
lower_manair,Lower Manair,2026-04-23,0.199,31.97,28.89,0.621,,local://bulletin_2026_04_23.pdf,
nizam_sagar,Nizam Sagar,2026-04-23,0.233,48.33,19.67,0.482,,local://bulletin_2026_04_23.pdf,
ramganga,Ramganga,2026-04-23,1.336,60.84,53.9,2.196,,local://bulletin_2026_04_23.pdf,
nanak_sagar,Nanak Sagar,2026-04-23,0.041,23.24,17.73,0.176,,local://bulletin_2026_04_23.pdf,
hirakud,Hirakud,2026-04-23,1.8,33.46,37.62,5.378,,local://bulletin_2026_04_23.pdf,
rengali,Rengali,2026-04-23,0.958,27.91,39.38,3.432,,local://bulletin_2026_04_23.pdf,
upper_indravati,Upper Indravati,2026-04-23,0.646,44.37,33.11,1.456,,local://bulletin_2026_04_23.pdf,
minimata_bango,Minimata Bango,2026-04-23,1.754,57.58,53.57,3.046,,local://bulletin_2026_04_23.pdf,
mahanadi_chhattisgarh,Mahanadi,2026-04-23,0.524,68.33,40.17,0.767,,local://bulletin_2026_04_23.pdf,
tandula,Tandula,2026-04-23,0.16,51.21,27.33,0.312,,local://bulletin_2026_04_23.pdf,
krs,Krishnaraja Sagara,2026-04-23,0.364,31.33,24.31,1.163,,local://bulletin_2026_04_23.pdf,
bhakra,Gobind Sagar,2026-04-23,2.232,35.84,26.37,6.229,,local://bulletin_2026_04_23.pdf,
bhavanisagar,Lower Bhawani,2026-04-23,0.278,35.16,37.28,0.792,,local://bulletin_2026_04_23.pdf,
khadakwasla,Khadakvasla,2026-04-23,0.021,38.16,52.07,0.056,,local://bulletin_2026_04_23.pdf,
totladoh,Pench,2026-04-23,0.549,50.32,39.83,1.091,,local://bulletin_2026_04_23.pdf,
