reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
omkareshwar,Omkareshwar,2026-05-14,0.15,50.24,19.44,0.299,,local://bulletin_2026_05_14.pdf,
mahi_bajaj_sagar,Mahi Bajaj Sagar,2026-05-14,0.636,37.17,31.12,1.711,,local://bulletin_2026_05_14.pdf,
rana_pratap_sagar,Rana Pratap Sagar,2026-05-14,0.519,36.15,45.67,1.436,,local://bulletin_2026_05_14.pdf,
jawai,Jawai Dam,2026-05-14,0.059,30.57,16.71,0.193,,local://bulletin_2026_05_14.pdf,
sriramsagar,Sriramsagar,2026-05-14,0.505,21.94,17.22,2.3,,local://bulletin_2026_05_14.pdf,
lower_manair,Lower Manair,2026-05-14,0.189,30.38,30.8,0.621,,local://bulletin_2026_05_14.pdf,
nizam_sagar,Nizam Sagar,2026-05-14,0.219,45.41,19.22,0.482,,local://bulletin_2026_05_14.pdf,
ramganga,Ramganga,2026-05-14,1.119,50.97,33.19,2.196,,local://bulletin_2026_05_14.pdf,
nanak_sagar,Nanak Sagar,2026-05-14,0.019,10.93,3.72,0.176,,local://bulletin_2026_05_14.pdf,
hirakud,Hirakud,2026-05-14,1.27,23.62,28.15,5.378,,local://bulletin_2026_05_14.pdf,
rengali,Rengali,2026-05-14,0.562,16.38,27.12,3.432,,local://bulletin_2026_05_14.pdf,
upper_indravati,Upper Indravati,2026-05-14,0.499,34.27,25.87,1.456,,local://bulletin_2026_05_14.pdf,
minimata_bango,Minimata Bango,2026-05-14,1.659,54.46,49.53,3.046,,local://bulletin_2026_05_14.pdf,
mahanadi_chhattisgarh,Mahanadi,2026-05-14,0.395,51.5,31.72,0.767,,local://bulletin_2026_05_14.pdf,
tandula,Tandula,2026-05-14,0.144,46.25,22.26,0.312,,local://bulletin_2026_05_14.pdf,
krs,Krishnaraja Sagara,2026-05-14,0.21,18.03,18.3,1.163,,local://bulletin_2026_05_14.pdf,
bhakra,Gobind Sagar,2026-05-14,1.985,31.87,23.07,6.229,,local://bulletin_2026_05_14.pdf,
bhavanisagar,Lower Bhawani,2026-05-14,0.204,25.71,34.5,0.792,,local://bulletin_2026_05_14.pdf,
khadakwasla,Khadakvasla,2026-05-14,0.031,56.12,48.91,0.056,,local://bulletin_2026_05_14.pdf,
totladoh,Pench,2026-05-14,0.525,48.08,37.44,1.091,,local://bulletin_2026_05_14.pdf,
