reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-04-02,0.462,17.67,20.11,2.615,,local://bulletin_2026_04_02.pdf,
mettur,Mettur,2026-04-02,1.257,47.51,46.89,2.647,,local://bulletin_2026_04_02.pdf,
jayakwadi,Jayakwadi,2026-04-02,1.301,59.92,42.03,2.171,,local://bulletin_2026_04_02.pdf,
indira_sagar,Indira Sagar,2026-04-02,4.472,45.89,37.98,9.745,,local://bulletin_2026_04_02.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-04-02,1.218,23.84,16.18,5.108,,local://bulletin_2026_04_02.pdf,
srisailam,Srisailam,2026-04-02,1.136,18.89,15.73,6.013,,local://bulletin_2026_04_02.pdf,
sardar_sarovar,Sardar Sarovar,2026-04-02,3.108,53.95,22.4,5.76,,local://bulletin_2026_04_02.pdf,
ukai,Ukai,2026-04-02,4.313,65.2,49.97,6.615,,local://bulletin_2026_04_02.pdf,
kabini,Kabini,2026-04-02,0.155,35.01,32.18,0.444,,local://bulletin_2026_04_02.pdf,
hemavathy,Hemavathy,2026-04-02,0.404,43.54,30.13,0.927,,local://bulletin_2026_04_02.pdf,
harangi,Harangi,2026-04-02,0.073,33.26,28.25,0.22,,local://bulletin_2026_04_02.pdf,
vaigai,Vaigai,2026-04-02,0.016,9.28,38.97,0.172,,local://bulletin_2026_04_02.pdf,
idukki,Idukki,2026-04-02,0.611,41.83,43.16,1.46,,local://bulletin_2026_04_02.pdf,
idamalayar,Idamalayar,2026-04-02,0.378,37.12,39.58,1.018,,local://bulletin_2026_04_02.pdf,
bisalpur,Bisalpur,2026-04-02,0.91,84.61,47.72,1.076,,local://bulletin_2026_04_02.pdf,
maithon,Maithon,2026-04-02,0.429,91.08,79.55,0.471,,local://bulletin_2026_04_02.pdf,
panchet,Panchet,2026-04-02,0.184,100.0,84.52,0.184,,local://bulletin_2026_04_02.pdf,
bargi,Bargi,2026-04-02,1.326,41.7,54.09,3.18,,local://bulletin_2026_04_02.pdf,
singur,Singur,2026-04-02,0.211,25.65,44.16,0.822,,local://bulletin_2026_04_02.pdf,
krs,Krishnaraja Sagara,2026-04-02,0.505,43.39,32.1,1.163,,local://bulletin_2026_04_02.pdf,
bhakra,Gobind Sagar,2026-04-02,2.343,37.61,26.79,6.229,,local://bulletin_2026_04_02.pdf,
bhavanisagar,Lower Bhawani,2026-04-02,0.342,43.16,43.59,0.792,,local://bulletin_2026_04_02.pdf,
khadakwasla,Khadakvasla,2026-04-02,0.021,37.09,54.3,0.056,,local://bulletin_2026_04_02.pdf,
totladoh,Pench,2026-04-02,0.57,52.23,42.27,1.091,,local://bulletin_2026_04_02.pdf,
